size type  blanks  precomp  comp_time  postcomp
6 1 1 36.0603270531 2.62247800827 0.027498960495
6 1 1 36.2972760201 2.6870970726 0.000746011734009
6 1 1 37.4982581139 2.51353693008 0.000696897506714
6 2 1 37.8024921417 2.43527007103 0.000765085220337
6 2 1 37.0775580406 2.44309592247 0.000741958618164
6 2 1 37.3638179302 2.4948861599 0.00075101852417
6 3 1 37.882404089 2.56335496902 0.000849962234497
6 3 1 38.1453359127 2.59101104736 0.000722169876099
6 3 1 36.6756339073 2.36084103584 0.000697135925293
6 4 1 37.1409931183 2.53387022018 0.0010039806366
6 4 1 39.5728700161 2.46354484558 0.000730991363525
6 4 1 37.5374090672 2.44725298882 0.000715017318726
6 5 1 37.0017340183 2.42068886757 0.000720024108887
6 5 1 37.1481649876 2.3860168457 0.000722885131836
6 5 1 36.7676210403 2.42916798592 0.000829219818115
6 6 1 36.8921101093 2.49398398399 0.00088906288147
6 6 1 37.2029960155 2.48731994629 0.000781059265137
6 6 1 37.350703001 2.43343710899 0.000756025314331
6 1 2 36.8916449547 2.41689896584 0.000789880752563
6 1 2 36.7346439362 2.43540596962 0.000771999359131
6 1 2 39.0863759518 2.46028590202 0.00102400779724
6 2 2 38.4070799351 2.51868605614 0.000826835632324
6 2 2 37.9493510723 2.49965310097 0.000900983810425
6 2 2 37.7174289227 2.43696403503 0.000854969024658
6 3 2 39.7748849392 2.54566597939 0.000859975814819
6 3 2 38.6406669617 2.51391005516 0.000916957855225
6 3 2 38.0665681362 2.46219778061 0.000908136367798
6 4 2 37.9397988319 3.10010004044 0.00128889083862
6 4 2 38.0018498898 2.46578216553 0.000905990600586
6 4 2 38.4199948311 2.47418999672 0.000921964645386
6 5 2 37.9400210381 2.48640990257 0.000850915908813
6 5 2 38.1744849682 3.06185817719 0.00151801109314
6 5 2 38.8360798359 2.49203395844 0.000828981399536
6 6 2 38.1495800018 2.55828785896 0.000897884368896
6 6 2 38.797565937 2.55413198471 0.000913858413696
6 6 2 38.2263038158 3.30826711655 0.000885009765625
6 1 3 38.5981390476 2.47602105141 0.000830888748169
6 1 3 38.0410759449 2.45477199554 0.000854969024658
6 1 3 38.6055879593 2.48223900795 0.00094199180603
6 2 3 40.0609428883 2.4410071373 0.000868082046509
6 2 3 38.8819599152 2.51711702347 0.000868082046509
6 2 3 38.0868480206 2.48129916191 0.000848054885864
6 3 3 37.8660800457 2.41905093193 0.00085186958313
6 3 3 38.7043890953 2.46118807793 0.000838041305542
6 3 3 37.3756661415 2.45344305038 0.000855922698975
6 4 3 38.0955159664 2.50912594795 0.000898122787476
6 4 3 38.7472820282 2.49110889435 0.00111293792725
6 4 3 38.9915370941 2.47350978851 0.00087308883667
6 5 3 38.0102789402 2.48564815521 0.000886201858521
6 5 3 37.6011469364 2.48184800148 0.000925779342651
6 5 3 38.4197189808 2.5029091835 0.000883102416992
6 6 3 38.5074779987 2.66460585594 0.00082802772522
6 6 3 38.4257931709 2.47636389732 0.000846862792969
6 6 3 38.9373469353 2.47616410255 0.000931978225708
6 1 4 38.4410698414 2.4767510891 0.000790119171143
6 1 4 39.1996808052 2.4965031147 0.000838041305542
6 1 4 37.9845020771 2.47324299812 0.000935792922974
6 2 4 38.5818281174 2.48633098602 0.000977993011475
6 2 4 38.1080510616 2.45501899719 0.00101399421692
6 2 4 39.3608078957 2.49137997627 0.000931024551392
6 3 4 38.6714560986 2.48187398911 0.00090503692627
6 3 4 38.0967390537 2.46525788307 0.000946998596191
6 3 4 38.2513101101 2.4656560421 0.000894784927368
6 4 4 38.5875248909 2.45301795006 0.000923871994019
6 4 4 38.0964319706 2.4711060524 0.000964164733887
6 4 4 37.6937119961 2.45552110672 0.000907897949219
6 5 4 37.9054489136 2.45167517662 0.000858068466187
6 5 4 39.2999510765 2.49866199493 0.000969171524048
6 5 4 38.4592540264 2.55518603325 0.00100016593933
6 6 4 38.1219058037 2.46563911438 0.000867128372192
6 6 4 38.1414580345 2.48502707481 0.0011100769043
6 6 4 39.4550919533 2.47992396355 0.000949859619141
6 1 5 37.9816660881 2.47267007828 0.000963926315308
6 1 5 38.4857928753 2.47580504417 0.000920057296753
6 1 5 38.6945559978 2.42667388916 0.000836849212646
6 2 5 38.8818228245 2.49596095085 0.000826835632324
6 2 5 38.1382799149 2.46845388412 0.000863075256348
6 2 5 38.0422799587 2.50597500801 0.000982046127319
6 3 5 38.347176075 2.50195813179 0.001384973526
6 3 5 38.7666988373 2.49684906006 0.000872850418091
6 3 5 38.0008950233 2.48827409744 0.000872135162354
6 4 5 38.6791419983 2.54990506172 0.000839948654175
6 4 5 38.5016109943 2.92414093018 0.00141882896423
6 4 5 38.7759690285 2.51772284508 0.00108790397644
6 5 5 38.0874998569 2.51195216179 0.000959157943726
6 5 5 38.828578949 2.5640540123 0.000858068466187
6 5 5 38.107475996 3.26461601257 0.000958919525146
6 6 5 38.3370468616 2.50780510902 0.000864028930664
6 6 5 38.5031991005 2.45211291313 0.000967025756836
6 6 5 38.7336587906 2.50812101364 0.00113892555237
6 1 6 38.9957959652 2.93139004707 0.000906944274902
6 1 6 37.9921560287 2.50173592567 0.00107407569885
6 1 6 39.8291459084 2.86053705215 0.00118088722229
6 2 6 38.5212349892 2.4631819725 0.000975131988525
6 2 6 39.79342103 2.55794811249 0.000981092453003
6 2 6 38.9113898277 2.45241498947 0.000990867614746
6 3 6 38.1444969177 2.4611620903 0.000946998596191
6 3 6 38.494325161 2.48168492317 0.000944852828979
6 3 6 39.3774371147 2.48281502724 0.000897169113159
6 4 6 39.1600000858 2.60506987572 0.000841856002808
6 4 6 38.0752780437 2.83838105202 0.00102496147156
6 4 6 38.5746779442 3.25389790535 0.000961065292358
6 5 6 38.4907109737 2.48447608948 0.000924110412598
6 5 6 37.9217338562 2.52124810219 0.000730991363525
6 5 6 37.6711709499 2.45460009575 0.00104212760925
6 6 6 37.4085018635 3.16417002678 0.00164794921875
6 6 6 38.191824913 2.4684138298 0.000904083251953
6 6 6 37.5139400959 2.6318089962 0.000982999801636
6 1 7 40.3515760899 2.79832386971 0.000985860824585
6 1 7 40.1005148888 2.44626188278 0.00110387802124
6 1 7 38.0393531322 2.47526502609 0.000828981399536
6 2 7 38.2338211536 2.4839990139 0.000885009765625
6 2 7 38.6303939819 2.51405000687 0.0010199546814
6 2 7 39.3666098118 2.48592710495 0.001051902771
6 3 7 38.0209422112 2.49025607109 0.000980854034424
6 3 7 38.41751194 2.47905111313 0.00116300582886
6 3 7 39.2488288879 2.50357604027 0.00133299827576
6 4 7 39.5457379818 2.51635289192 0.00112009048462
6 4 7 38.3905088902 2.53593111038 0.000982999801636
6 4 7 38.5932030678 2.53794908524 0.00105500221252
6 5 7 38.7177379131 2.45509409904 0.0014009475708
6 5 7 37.8530659676 2.43203401566 0.000864028930664
6 5 7 37.9024040699 2.48273205757 0.00102496147156
6 6 7 40.6079008579 2.60648488998 0.00111293792725
6 6 7 40.370871067 2.96961402893 0.000965118408203
6 6 7 37.7147760391 2.43416810036 0.00106501579285
6 1 8 37.7966940403 2.47304987907 0.000978946685791
6 1 8 38.3869130611 2.46312785149 0.00105690956116
6 1 8 37.4848799706 3.25892090797 0.00131893157959
6 2 8 38.1953151226 2.52972483635 0.00116300582886
6 2 8 40.5750648975 2.49512481689 0.00133991241455
6 2 8 38.1516540051 2.50716018677 0.00159311294556
6 3 8 39.0331151485 2.46435785294 0.00147485733032
6 3 8 39.0564289093 2.51923799515 0.00206184387207
6 3 8 38.8601050377 2.585242033 0.00246405601501
6 4 8 37.9156680107 2.48675084114 0.00132203102112
6 4 8 39.1315050125 2.50073099136 0.00176596641541
6 4 8 38.621325016 2.50838112831 0.00199317932129
6 5 8 38.040389061 2.49681401253 0.001060962677
6 5 8 37.844671011 2.44004511833 0.00090503692627
6 5 8 38.8483948708 2.50404500961 0.00109481811523
6 6 8 38.6302688122 2.438144207 0.00108599662781
6 6 8 37.9385588169 2.48953104019 0.0012321472168
6 6 8 38.639619112 2.47440481186 0.0013370513916
6 1 9 39.7643918991 2.47270417213 0.0014979839325
6 1 9 38.2850410938 2.50257706642 0.00182580947876
6 1 9 38.1310138702 2.5033519268 0.00194597244263
6 2 9 38.0853259563 2.86320495605 0.00437593460083
6 2 9 39.0749330521 2.47312498093 0.00301504135132
6 2 9 37.7155320644 2.50482988358 0.00560593605042
6 3 9 38.2672560215 2.4410238266 0.00250005722046
6 3 9 38.7991909981 3.29356384277 0.00299096107483
6 3 9 37.8942990303 2.5127799511 0.00498700141907
6 4 9 37.7936530113 2.5096950531 0.0023889541626
6 4 9 38.4284589291 2.4822781086 0.00246906280518
6 4 9 38.263324976 3.30636620522 0.00267195701599
6 5 9 38.3429501057 2.45597791672 0.00125312805176
6 5 9 38.1862151623 2.48939681053 0.00184512138367
6 5 9 38.5134210587 2.45582890511 0.00147604942322
6 6 9 38.0628008842 3.19905614853 0.00150513648987
6 6 9 37.8956699371 2.4679350853 0.00148916244507
6 6 9 37.7070810795 2.45159888268 0.00173401832581
6 1 10 38.543669939 2.51215004921 0.00243711471558
6 1 10 37.9203710556 3.30848908424 0.00292301177979
6 1 10 38.4804451466 2.48646306992 0.00302314758301
6 2 10 38.8572700024 2.49255895615 0.00660300254822
6 2 10 38.2925570011 2.50318789482 0.00705909729004
6 2 10 38.7435059547 2.59903693199 0.0156180858612
6 3 10 37.8173289299 2.49982500076 0.0052170753479
6 3 10 38.3557238579 2.485861063 0.00893211364746
6 3 10 37.6836950779 2.45626211166 0.0102291107178
6 4 10 38.6741600037 2.67688679695 0.00885987281799
6 4 10 38.4879081249 2.49032402039 0.00883793830872
6 4 10 37.944770813 2.47959208488 0.0125389099121
6 5 10 37.8651099205 2.46647596359 0.00188088417053
6 5 10 38.263504982 2.79154682159 0.00191402435303
6 5 10 38.1789691448 2.49661302567 0.00232601165771
6 6 10 37.5770609379 2.49535012245 0.00328302383423
6 6 10 38.247574091 2.50605106354 0.0124459266663
6 6 10 39.2891728878 2.57439804077 0.0101590156555
6 1 11 38.2736670971 2.49799799919 0.00638484954834
6 1 11 38.167522192 2.52474379539 0.0099630355835
6 1 11 37.7875111103 2.48367905617 0.0271639823914
6 2 11 38.8553321362 2.51701498032 0.0170240402222
6 2 11 38.0498080254 2.52818012238 0.0252749919891
6 2 11 38.5607590675 2.50321006775 0.0391550064087
6 3 11 38.5587501526 2.5489358902 0.0151851177216
6 3 11 39.0395519733 2.53661608696 0.0266139507294
6 3 11 38.1400067806 2.46695399284 0.0380120277405
6 4 11 37.8106341362 2.52075791359 0.0152339935303
6 4 11 38.5943181515 2.5133459568 0.0247519016266
6 4 11 39.3031361103 2.63578009605 0.0342049598694
6 5 11 38.4534480572 2.53597807884 0.0147609710693
6 5 11 39.2859117985 2.55074715614 0.00458002090454
6 5 11 38.211122036 2.54460597038 0.0102379322052
6 6 11 39.7817511559 2.50999593735 0.0150508880615
6 6 11 39.1842961311 2.51312994957 0.0170588493347
6 6 11 38.5601630211 2.57351303101 0.025141954422
6 1 12 38.1382639408 3.36760210991 0.0236029624939
6 1 12 38.5190081596 2.50076889992 0.0271139144897
6 1 12 39.3275849819 2.56247711182 0.0649471282959
6 2 12 38.290738821 2.49011206627 0.0453660488129
6 2 12 38.9696288109 2.55426502228 0.0436699390411
6 2 12 37.9289519787 2.52745890617 0.0605990886688
6 3 12 38.5491070747 2.50910520554 0.0761349201202
6 3 12 38.0576341152 2.5355348587 0.0757539272308
6 3 12 39.4177560806 2.50378513336 0.0983190536499
6 4 12 38.867046833 2.51405715942 0.0355350971222
6 4 12 38.3459510803 2.54287600517 0.0682001113892
6 4 12 37.7964198589 2.59022402763 0.446446895599
6 5 12 38.6282708645 2.51790904999 0.0135028362274
6 5 12 38.1682929993 2.50897908211 0.0229730606079
6 5 12 37.6085181236 2.49002099037 0.0369861125946
6 6 12 38.0724430084 2.50967001915 0.0504908561707
6 6 12 39.3216619492 2.50409197807 0.146852970123
6 6 12 37.7847859859 2.51238298416 0.163089990616
6 1 13 37.8348860741 2.51866602898 0.075660943985
6 1 13 37.5799620152 2.5528190136 0.243649959564
